material_id,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,moisture_barrier_grade,cost_per_unit,heat_resistance_c,flexibility_score
M00001,Mushroom Mycelium,23.66,7.38,98.1,0.29,99.74,4,10.82,103,5
M00002,Mushroom Mycelium,15.73,8.25,96.28,0.27,98.54,4,9.37,90,6
M00003,Mushroom Mycelium,24.51,6.94,98.31,0.38,98.89,2,8.85,70,6
M00004,Mushroom Mycelium,20.73,7.04,98.63,0.32,99.37,3,10.07,98,7
M00005,Mushroom Mycelium,19.97,6.66,97.03,0.32,97.18,3,9.65,91,6
M00006,Mushroom Mycelium,23.45,9.17,97.4,0.36,96.88,2,9.5,85,6
M00007,Mushroom Mycelium,17.46,8.69,95.0,0.33,95.27,2,9.4,95,6
M00008,Mushroom Mycelium,13.47,8.51,98.1,0.23,96.31,4,9.15,90,7
M00009,Mushroom Mycelium,21.5,5.06,95.0,0.38,97.88,5,10.35,94,7
M00010,Mushroom Mycelium,13.55,9.37,97.41,0.33,98.2,3,9.4,99,8
M00011,Mushroom Mycelium,22.15,7.31,97.61,0.4,95.74,5,11.02,106,6
M00012,Mushroom Mycelium,27.32,6.62,98.06,0.49,100.0,3,10.08,85,6
M00013,Mushroom Mycelium,15.72,6.56,98.78,0.3,100.0,4,9.27,88,4
M00014,Mushroom Mycelium,21.5,8.91,97.53,0.36,98.43,6,10.25,88,5
M00015,Mushroom Mycelium,16.4,10.0,98.23,0.35,100.0,3,9.84,102,5
M00016,Mushroom Mycelium,20.5,8.47,96.64,0.28,97.81,4,9.75,88,6
M00017,Mushroom Mycelium,17.42,8.87,98.63,0.3,98.06,3,8.94,82,5
M00018,Mushroom Mycelium,18.01,6.97,97.4,0.35,99.83,3,9.55,93,7
M00019,Mushroom Mycelium,21.4,6.04,97.8,0.38,99.87,3,10.19,99,5
M00020,Mushroom Mycelium,15.68,8.06,97.6,0.28,98.95,3,9.02,87,4
M00021,Mushroom Mycelium,18.66,8.53,96.73,0.36,97.57,3,8.82,77,6
M00022,Mushroom Mycelium,12.49,8.25,98.42,0.29,100.0,2,8.6,89,8
M00023,Mushroom Mycelium,14.78,6.26,97.92,0.26,98.94,4,9.18,88,6
M00024,Mushroom Mycelium,15.54,7.32,99.22,0.27,100.0,4,9.2,87,5
M00025,Mushroom Mycelium,20.45,7.77,100.0,0.31,98.25,5,9.1,71,6
M00026,Mushroom Mycelium,17.46,9.02,98.92,0.35,95.0,3,10.0,103,7
M00027,Mushroom Mycelium,19.15,6.66,95.33,0.32,95.06,2,9.37,91,8
M00028,Mushroom Mycelium,19.66,6.62,96.89,0.27,96.63,5,9.82,87,4
M00029,Mushroom Mycelium,26.74,7.21,99.02,0.42,95.0,5,11.57,108,4
M00030,Mushroom Mycelium,21.2,7.56,99.46,0.29,99.02,2,9.67,93,5
M00031,Mushroom Mycelium,21.78,7.62,98.35,0.38,96.89,4,9.83,87,5
M00032,Mushroom Mycelium,28.36,7.07,97.89,0.41,98.83,3,10.79,97,6
M00033,Mushroom Mycelium,14.66,9.78,98.27,0.37,98.92,3,9.57,100,4
M00034,Mushroom Mycelium,18.5,7.78,98.63,0.35,97.42,3,9.8,97,5
M00035,Mushroom Mycelium,23.49,7.51,97.45,0.37,100.0,2,9.6,87,5
M00036,Mushroom Mycelium,21.0,7.03,98.93,0.46,97.42,4,10.5,102,6
M00037,Mushroom Mycelium,17.68,6.2,100.0,0.3,95.0,4,10.42,107,5
M00038,Mushroom Mycelium,19.55,7.43,96.8,0.37,98.19,3,10.3,105,6
M00039,Mushroom Mycelium,11.45,7.33,98.36,0.23,95.06,3,8.89,93,5
M00040,Mushroom Mycelium,16.72,10.0,100.0,0.37,97.04,2,9.07,90,6
M00041,Mushroom Mycelium,20.25,8.03,96.72,0.32,98.53,3,10.18,101,7
M00042,Mushroom Mycelium,23.84,8.24,98.52,0.29,97.9,4,9.98,86,6
M00043,Mushroom Mycelium,22.37,9.56,97.69,0.35,99.65,4,10.14,92,4
M00044,Mushroom Mycelium,24.24,6.09,97.43,0.41,99.37,4,9.87,83,5
M00045,Mushroom Mycelium,21.05,8.57,96.79,0.36,98.46,6,10.36,91,6
M00046,Mushroom Mycelium,22.74,9.84,97.09,0.38,97.87,3,11.32,119,5
M00047,Mushroom Mycelium,22.68,7.14,99.27,0.38,97.38,3,9.67,86,6
M00048,Mushroom Mycelium,20.77,9.94,97.8,0.33,97.42,3,10.63,109,6
M00049,Mushroom Mycelium,25.32,5.28,98.58,0.35,96.92,4,10.18,87,5
M00050,Mushroom Mycelium,18.64,9.43,98.42,0.3,98.01,3,9.51,91,5
M00051,Mushroom Mycelium,21.16,7.58,96.41,0.37,99.28,4,8.92,70,4
M00052,Mushroom Mycelium,18.63,6.45,98.83,0.38,98.46,4,10.56,108,6
M00053,Mushroom Mycelium,14.83,6.9,97.13,0.26,97.67,5,10.08,102,6
M00054,Mushroom Mycelium,24.39,5.48,99.43,0.38,98.46,3,10.54,100,6
M00055,Mushroom Mycelium,17.33,6.24,96.88,0.38,98.66,5,9.73,90,8
M00056,Mushroom Mycelium,18.86,7.57,100.0,0.44,100.0,3,8.89,78,6
M00057,Mushroom Mycelium,11.28,7.91,96.67,0.28,99.54,4,8.48,81,6
M00058,Mushroom Mycelium,16.63,7.95,98.22,0.36,95.18,4,10.06,102,5
M00059,Mushroom Mycelium,20.9,5.0,98.63,0.34,98.5,3,9.49,86,5
M00060,Mushroom Mycelium,17.55,5.51,97.32,0.35,98.49,3,9.3,89,5
M00061,Mushroom Mycelium,19.03,5.0,96.39,0.33,99.62,3,10.05,101,6
M00062,Mushroom Mycelium,16.67,5.85,96.84,0.33,100.0,4,9.12,83,6
M00063,Mushroom Mycelium,23.47,7.32,97.85,0.42,99.76,4,9.2,71,6
M00064,Mushroom Mycelium,20.72,8.28,98.18,0.44,97.94,3,8.72,71,4
M00065,Mushroom Mycelium,21.75,8.22,97.35,0.43,98.78,2,9.68,92,5
M00066,Mushroom Mycelium,19.4,8.76,99.78,0.38,97.91,3,9.79,95,6
M00067,Mushroom Mycelium,23.86,7.97,96.73,0.37,98.32,3,10.49,100,4
M00068,Mushroom Mycelium,21.16,7.51,98.6,0.33,99.04,4,9.42,80,8
M00069,Mushroom Mycelium,27.85,7.14,98.04,0.33,100.0,3,10.04,83,6
M00070,Mushroom Mycelium,14.42,6.89,100.0,0.24,97.64,5,9.64,94,4
M00071,Mushroom Mycelium,21.76,9.97,97.07,0.36,97.75,4,9.93,89,4
M00072,Mushroom Mycelium,22.34,8.3,97.49,0.44,98.51,4,9.48,79,4
