product_id,product_name,category,material_type,weight_kg,volume_m3,shelf_life_days,packaging_required
P00001,Smartphone,Electronics,Bioplastic (PLA),0.202,0.0016,653,True
P00002,Smartphone,Electronics,Recycled Cardboard,0.24,0.0009,454,True
P00003,Smartphone,Electronics,Recycled Cardboard,0.164,0.0007,611,True
P00004,Smartphone,Electronics,Recycled Cardboard,0.185,0.0011,401,True
P00005,Smartphone,Electronics,Bamboo Fiber,0.171,0.0012,435,True
P00006,Smartphone,Electronics,Mushroom Mycelium,0.175,0.0015,149,True
P00007,Smartphone,Electronics,Mushroom Mycelium,0.242,0.0016,394,True
P00008,Smartphone,Electronics,Mushroom Mycelium,0.177,0.0012,93,True
P00009,Smartphone,Electronics,Mushroom Mycelium,0.183,0.0016,94,True
P00010,Smartphone,Electronics,Bamboo Fiber,0.177,0.0009,407,True
P00011,Smartphone,Electronics,Bagasse,0.242,0.0012,35,True
P00012,Smartphone,Electronics,Recycled Cardboard,0.156,0.0007,339,True
P00013,Smartphone,Electronics,Mushroom Mycelium,0.212,0.0014,697,True
P00014,Smartphone,Electronics,Bamboo Fiber,0.204,0.0008,610,True
P00015,Smartphone,Electronics,Bioplastic (PLA),0.234,0.0017,351,True
P00016,Smartphone,Electronics,Recycled Cardboard,0.219,0.0007,416,True
P00017,Smartphone,Electronics,Bagasse,0.237,0.0006,93,True
P00018,Smartphone,Electronics,Recycled Cardboard,0.212,0.0009,331,True
P00019,Smartphone,Electronics,Recycled Cardboard,0.221,0.0013,266,True
P00020,Smartphone,Electronics,Bamboo Fiber,0.238,0.002,491,True
P00021,Smartphone,Electronics,Bioplastic (PLA),0.186,0.0019,131,True
P00022,Smartphone,Electronics,Bagasse,0.224,0.0006,142,True
P00023,Smartphone,Electronics,Bagasse,0.22,0.0015,521,True
P00024,Smartphone,Electronics,Mushroom Mycelium,0.19,0.0012,464,True
P00025,Smartphone,Electronics,Bamboo Fiber,0.193,0.0011,405,True
P00026,Smartphone,Electronics,Bagasse,0.225,0.0009,705,True
P00027,Smartphone,Electronics,Recycled Cardboard,0.221,0.0011,255,True
P00028,Smartphone,Electronics,Recycled Cardboard,0.235,0.001,531,True
P00029,Smartphone,Electronics,Bamboo Fiber,0.192,0.0008,612,True
P00030,Smartphone,Electronics,Bamboo Fiber,0.163,0.0013,86,True
P00031,Smartphone,Electronics,Bamboo Fiber,0.191,0.0007,174,True
P00032,Smartphone,Electronics,Mushroom Mycelium,0.193,0.0013,121,True
P00033,Smartphone,Electronics,Bioplastic (PLA),0.207,0.0018,347,True
P00034,Smartphone,Electronics,Mushroom Mycelium,0.208,0.0015,243,True
P00035,Smartphone,Electronics,Bagasse,0.203,0.0018,593,True
P00036,Smartphone,Electronics,Bagasse,0.16,0.0006,727,True
P00037,Smartphone,Electronics,Bioplastic (PLA),0.188,0.0017,541,True
P00038,Smartphone,Electronics,Bagasse,0.15,0.0006,538,True
P00039,Smartphone,Electronics,Bagasse,0.212,0.0008,369,True
P00040,Smartphone,Electronics,Recycled Cardboard,0.247,0.0006,563,True
P00041,Smartphone,Electronics,Recycled Cardboard,0.16,0.0011,676,True
P00042,Smartphone,Electronics,Bamboo Fiber,0.203,0.0017,550,True
P00043,Smartphone,Electronics,Bioplastic (PLA),0.219,0.0018,494,True
P00044,Smartphone,Electronics,Bioplastic (PLA),0.214,0.0018,729,True
P00045,Smartphone,Electronics,Bamboo Fiber,0.209,0.0014,271,True
P00046,Smartphone,Electronics,Recycled Cardboard,0.235,0.0019,244,True
P00047,Smartphone,Electronics,Recycled Cardboard,0.178,0.0018,456,True
P00048,Smartphone,Electronics,Mushroom Mycelium,0.193,0.001,154,True
P00049,Smartphone,Electronics,Bagasse,0.231,0.0012,252,True
P00050,Smartphone,Electronics,Bioplastic (PLA),0.25,0.0014,559,True
P00051,Smartphone,Electronics,Recycled Cardboard,0.245,0.0008,588,True
P00052,Smartphone,Electronics,Bagasse,0.242,0.0009,352,True
P00053,Smartphone,Electronics,Recycled Cardboard,0.213,0.0016,581,True
P00054,Smartphone,Electronics,Mushroom Mycelium,0.206,0.0014,58,True
P00055,Smartphone,Electronics,Bioplastic (PLA),0.213,0.0012,147,True
P00056,Smartphone,Electronics,Bagasse,0.164,0.0017,78,True
P00057,Smartphone,Electronics,Bagasse,0.215,0.001,705,True
P00058,Smartphone,Electronics,Recycled Cardboard,0.23,0.0015,562,True
P00059,Smartphone,Electronics,Bioplastic (PLA),0.238,0.0005,254,True
P00060,Smartphone,Electronics,Bamboo Fiber,0.249,0.0007,497,True
P00061,Smartphone,Electronics,Mushroom Mycelium,0.166,0.0007,113,True
P00062,Smartphone,Electronics,Recycled Cardboard,0.234,0.0018,53,True
P00063,Smartphone,Electronics,Bioplastic (PLA),0.177,0.0011,678,True
P00064,Smartphone,Electronics,Bioplastic (PLA),0.21,0.0012,114,True
P00065,Smartphone,Electronics,Mushroom Mycelium,0.173,0.0009,121,True
P00066,Smartphone,Electronics,Bamboo Fiber,0.168,0.0019,140,True
P00067,Smartphone,Electronics,Bagasse,0.215,0.0006,137,True
P00068,Smartphone,Electronics,Mushroom Mycelium,0.208,0.0009,435,True
P00069,Smartphone,Electronics,Bagasse,0.188,0.0006,89,True
P00070,Smartphone,Electronics,Bagasse,0.228,0.001,336,True
P00071,Smartphone,Electronics,Recycled Cardboard,0.194,0.0012,510,True
P00072,Smartphone,Electronics,Bamboo Fiber,0.228,0.0008,84,True
P00073,Smartphone,Electronics,Bamboo Fiber,0.183,0.0014,527,True
P00074,Smartphone,Electronics,Recycled Cardboard,0.154,0.0011,205,True
P00075,Smartphone,Electronics,Recycled Cardboard,0.182,0.0012,378,True
P00076,Smartphone,Electronics,Bamboo Fiber,0.228,0.0019,534,True
P00077,Smartphone,Electronics,Bagasse,0.195,0.0006,338,True
P00078,Smartphone,Electronics,Mushroom Mycelium,0.188,0.0011,676,True
P00079,Smartphone,Electronics,Bamboo Fiber,0.162,0.0013,533,True
P00080,Smartphone,Electronics,Bamboo Fiber,0.178,0.0018,290,True
P00081,Smartphone,Electronics,Mushroom Mycelium,0.159,0.0019,412,True
P00082,Smartphone,Electronics,Bagasse,0.223,0.0016,284,True
P00083,Smartphone,Electronics,Mushroom Mycelium,0.193,0.0009,728,True
P00084,Smartphone,Electronics,Mushroom Mycelium,0.154,0.0007,464,True
P00085,Smartphone,Electronics,Mushroom Mycelium,0.201,0.002,119,True
P00086,Smartphone,Electronics,Bamboo Fiber,0.229,0.0006,563,True
P00087,Smartphone,Electronics,Mushroom Mycelium,0.183,0.0016,284,True
P00088,Smartphone,Electronics,Bioplastic (PLA),0.193,0.0017,442,True
P00089,Smartphone,Electronics,Bioplastic (PLA),0.161,0.0009,683,True
P00090,Smartphone,Electronics,Bagasse,0.222,0.0015,472,True
P00091,Smartphone,Electronics,Mushroom Mycelium,0.217,0.0016,41,True
P00092,Smartphone,Electronics,Recycled Cardboard,0.22,0.0008,205,True
P00093,Smartphone,Electronics,Bamboo Fiber,0.227,0.0019,365,True
P00094,Smartphone,Electronics,Bagasse,0.226,0.0017,44,True
P00095,Smartphone,Electronics,Bioplastic (PLA),0.155,0.0009,687,True
P00096,Smartphone,Electronics,Bamboo Fiber,0.247,0.0006,437,True
P00097,Smartphone,Electronics,Recycled Cardboard,0.189,0.0006,563,True
P00098,Smartphone,Electronics,Mushroom Mycelium,0.166,0.0007,52,True
P00099,Smartphone,Electronics,Bagasse,0.245,0.0006,56,True
P00100,Smartphone,Electronics,Recycled Cardboard,0.171,0.0011,570,True
P00101,Smartphone,Electronics,Bioplastic (PLA),0.172,0.0014,231,True
P00102,Smartphone,Electronics,Bagasse,0.216,0.002,84,True
P00103,Smartphone,Electronics,Recycled Cardboard,0.161,0.0007,317,True
P00104,Smartphone,Electronics,Bioplastic (PLA),0.181,0.001,40,True
P00105,Smartphone,Electronics,Bagasse,0.225,0.0012,518,True
P00106,Smartphone,Electronics,Mushroom Mycelium,0.249,0.0012,332,True
P00107,Smartphone,Electronics,Bamboo Fiber,0.237,0.0008,37,True
P00108,Smartphone,Electronics,Bagasse,0.152,0.0013,693,True
P00109,Smartphone,Electronics,Recycled Cardboard,0.243,0.0015,522,True
P00110,Smartphone,Electronics,Bamboo Fiber,0.245,0.0006,687,True
P00111,Smartphone,Electronics,Bagasse,0.198,0.0019,36,True
P00112,Smartphone,Electronics,Bagasse,0.169,0.0015,635,True
P00113,Smartphone,Electronics,Bioplastic (PLA),0.164,0.0012,239,True
P00114,Smartphone,Electronics,Bamboo Fiber,0.159,0.0008,701,True
P00115,Smartphone,Electronics,Bamboo Fiber,0.236,0.0009,488,True
P00116,Smartphone,Electronics,Bioplastic (PLA),0.229,0.0011,457,True
P00117,Smartphone,Electronics,Bamboo Fiber,0.213,0.0012,500,True
P00118,Smartphone,Electronics,Mushroom Mycelium,0.205,0.0009,395,True
P00119,Smartphone,Electronics,Bioplastic (PLA),0.203,0.0013,74,True
P00120,Smartphone,Electronics,Bagasse,0.151,0.0013,521,True
P00121,Smartphone,Electronics,Recycled Cardboard,0.241,0.0015,522,True
P00122,Smartphone,Electronics,Bagasse,0.215,0.0019,590,True
P00123,Smartphone,Electronics,Bamboo Fiber,0.241,0.0007,371,True
P00124,Smartphone,Electronics,Bioplastic (PLA),0.239,0.0005,92,True
P00125,Smartphone,Electronics,Mushroom Mycelium,0.194,0.001,636,True
P00126,Smartphone,Electronics,Mushroom Mycelium,0.223,0.0006,531,True
P00127,Smartphone,Electronics,Bamboo Fiber,0.168,0.0015,536,True
P00128,Smartphone,Electronics,Mushroom Mycelium,0.169,0.0007,40,True
P00129,Smartphone,Electronics,Bamboo Fiber,0.186,0.0008,417,True
P00130,Smartphone,Electronics,Bagasse,0.225,0.0018,441,True
