product_id,product_name,category,weight_kg,volume_m3,shelf_life_days,packaging_required,material_type_Bamboo Fiber,material_type_Bioplastic (PLA),material_type_Mushroom Mycelium,material_type_Recycled Cardboard,material_co2_factor,CO2 Impact Index,Cost Efficiency Index,packaging_required_int,Material Suitability Score
P00001,Smartphone,Electronics,-0.6015636737132848,0.37316156009464213,1.3416479373718135,1,0,1,0,0,0.5,-0.11420105680932133,1.3764356501727129,1,0.9558489941811348
P00002,Smartphone,Electronics,-0.5415206770002238,-0.10930661017603911,0.3665977874483753,1,0,0,0,1,0.2,-0.1301654574352526,0.5632788166582718,1,-0.003236755116372114
P00003,Smartphone,Electronics,-0.6616066704263459,-0.24715465882480514,1.1358584584935,1,0,0,0,1,0.2,-0.18175226585023022,1.249896064056136,1,0.8176107243437303
P00004,Smartphone,Electronics,-0.6284250143480753,0.02854143847272699,0.10691106410193195,1,0,0,0,1,0.2,-0.11997671517506968,0.1627341866676819,1,-0.27311222072299834
P00005,Smartphone,Electronics,-0.6505461184002557,0.0974654627971099,0.2735025470034239,1,1,0,0,0,0.3,-0.16592419668094374,0.3656389663468232,1,-0.06057325631563237
P00006,Smartphone,Electronics,-0.6442258029567757,0.3042375357702591,-1.1278258091679496,1,0,0,1,0,0.1,-0.03399882671865166,-1.1891072369485625,1,-1.5938269824492979
P00007,Smartphone,Electronics,-0.5383605192784837,0.37316156009464213,0.07261281762221301,1,0,0,1,0,0.1,-0.01651989591838416,0.07966097542165408,1,-0.41086728645940285
P00008,Smartphone,Electronics,-0.6410656452350356,0.0974654627971099,-1.402211781005701,1,0,0,1,0,0.1,-0.05436001824379258,-1.8986470131162776,1,-1.8478517627619084
P00009,Smartphone,Electronics,-0.6315851720698153,0.37316156009464213,-1.3973120315085985,1,0,0,1,0,0.1,-0.025842361197517323,-1.39070931615687,1,-1.8714696703110811
P00010,Smartphone,Electronics,-0.6410656452350356,-0.10930661017603911,0.13630956108454817,1,1,0,0,0,0.3,-0.22511167662332243,0.18165567616062503,1,-0.1385787622921294
