material_id,base_category,material_form,tensile_strength_mpa,thickness_mm,weight_capacity_kg,moisture_barrier_score,leakage_resistance_score,biodegradability_score,co2_kg_per_kg,recyclability_percent,cost_per_kg_inr
1,Paper,Corrugated Board,29,7.7,110.19,0.362,0.201,0.969,0.74,100,83
2,Paper,Kraft Paper,24.33,5.13,62.42,0.302,0.212,1,0.693,95.4,55.61
3,Glass,Tempered Glass,80.93,7.4,211.68,0.939,0.87,0,1.583,80.5,126.99
4,Plastic,PP,35.06,4.57,67.54,0.99,0.93,0.042,1.78,70.5,121.18
5,Plastic,PET,47,4.68,81.95,0.858,0.889,0.021,2.083,82.5,131.97
6,Plastic,PP,32.68,0.88,11.51,0.886,0.774,0.042,1.618,74.6,136.95
7,Plastic,HDPE,20.91,0.59,5.68,1,0.892,0.049,1.479,75,155.21
8,Sustainable,Seaweed-based Film,18.23,6.4,48.53,0.667,0.613,0.984,0.528,76,141.1
9,Paper,Molded Pulp,15.59,2.44,18.02,0.196,0.149,1,0.552,89,56.44
10,Metal,Aluminum Rigid (Can Grade),93.74,6.87,227.06,1,0.885,0,6.361,100,251.49
11,Paper,Kraft Paper,22.4,7.46,74.52,0.3,0.211,0.907,0.617,99.1,57.27
12,Paper,Kraft Paper,28.38,7.15,81.81,0.321,0.178,1,0.838,88.1,63.91
13,Plastic,PP,29.03,5.37,62.54,0.915,1,0.041,1.435,79.1,149.4
14,Paper,Corrugated Board,36.42,6.19,68.88,0.338,0.204,1,1.019,93.3,102.09
15,Plastic,PP,31.25,6.3,64.22,0.967,0.805,0.041,1.533,76.7,130.31
16,Metal,Tinplate (Coated Steel),248.18,7.36,886.39,1,1,0,1.691,100,107.9
17,Glass,Soda-Lime Glass,71.38,2.81,77.06,1,0.852,0,1.113,93.3,50.63
18,Metal,Aluminum Alloy 3003,112.14,1.5,81.31,0.939,1,0,5.794,100,245.68
19,Sustainable,Hemp Fiber Board,28.24,4.65,48.38,0.43,0.413,0.916,0.736,83.2,131.97
20,Glass,Tempered Glass,82.04,5.1,187.56,1,0.933,0,1.058,95.2,87.15
21,Sustainable,Seaweed-based Film,18.4,5.59,32.96,0.614,0.599,0.936,0.469,79.8,136.95
22,Glass,Borosilicate Glass,73.2,1.04,39.56,0.932,1,0,1.2,94,85.49
23,Sustainable,Seaweed-based Film,18.49,3.97,26.5,0.619,0.605,0.896,0.684,66,160.19
24,Metal,Aluminum Rigid (Can Grade),93.22,0.5,23.9,1,0.857,0,5.899,100,224.93
25,Paper,Corrugated Board,31.35,2.84,47.28,0.324,0.223,0.966,0.829,100,102.09
26,Plastic,PET,51.23,1.11,27.67,0.907,0.866,0.022,2.234,79.8,160.19
27,Paper,Molded Pulp,21.05,0.72,4.5,0.204,0.141,0.986,0.749,77.9,77.19
28,Paper,Kraft Paper,24.93,6.01,74.81,0.309,0.213,0.88,0.746,92.7,70.55
29,Plastic,HDPE,18.82,0.76,6.9,0.918,0.815,0.052,1.274,79.8,229.91
30,Plastic,PP,28.58,7.07,94.64,0.902,1,0.04,1.468,78.3,144.42
31,Bioplastic,PLA,48.63,2.78,61.42,0.69,0.704,0.887,1.15,58,189.24
32,Bioplastic,PLA,49.71,6.87,130.18,0.649,0.639,0.797,1.257,54.6,227.42
33,Metal,Aluminum Alloy 3003,110.64,3.62,180.41,0.935,0.912,0,5.864,100,194.22
34,Sustainable,Hemp Fiber Board,27.25,4.53,36.76,0.464,0.431,0.95,0.882,75.9,144.42
35,Metal,Tinplate (Coated Steel),249.22,1.78,150.13,0.926,1,0,2.485,88.3,117.86
36,Sustainable,Seaweed-based Film,18.22,2.59,14.97,0.657,0.592,0.992,0.498,78,107.07
37,Paper,Kraft Paper,23.94,2.75,20.25,0.317,0.183,0.892,0.709,94.6,70.55
38,Plastic,PP,31.19,4.26,62.86,0.984,0.957,0.038,1.632,74.2,161.02
39,Sustainable,Seaweed-based Film,18.12,3.99,35.61,0.633,0.591,0.896,0.544,75,126.99
40,Metal,Aluminum Foil (Thin Gauge),65.99,4.04,131.64,0.969,0.988,0,7.709,91.6,308.76
41,Paper,Corrugated Board,33.52,3.38,46.37,0.353,0.235,0.984,0.9,98.2,112.05
42,Paper,Kraft Paper,24,6,57.79,0.303,0.173,0.874,0.68,96,61.42
43,Paper,Molded Pulp,18.57,6.62,64.39,0.191,0.146,0.909,0.64,84,65.57
44,Paper,Corrugated Board,38.05,1.74,29.91,0.342,0.223,0.926,1.058,91.7,114.54
45,Plastic,PP,24.77,6.39,53.27,0.949,0.98,0.04,1.215,84.6,193.39
46,Sustainable,Seaweed-based Film,18.38,2.77,17.59,0.667,0.699,0.998,0.515,76.9,126.99
47,Bioplastic,PLA,48.56,4.72,114.51,0.727,0.676,0.814,1.272,54.1,239.04
48,Paper,Corrugated Board,39.66,4.91,69.82,0.374,0.273,0.885,1.082,90.7,102.09
49,Metal,Aluminum Alloy 3003,108.58,2.23,106.09,0.954,0.915,0,6.995,100,307.93
50,Plastic,PET,54.58,0.22,5.85,0.909,0.955,0.019,2.472,75.5,186.75
51,Metal,Steel (304 Grade),399.8,6.97,847.66,0.922,0.961,0,2.35,92.2,126.99
52,Glass,Borosilicate Glass,76.65,7.81,240.48,1,1,0,1.487,85.4,74.7
53,Metal,Tinplate (Coated Steel),245.78,0.99,125.5,0.955,0.879,0,2.009,96.8,152.72
54,Plastic,PP,33.71,3.48,57.76,0.896,0.847,0.039,1.736,71.6,129.48
55,Paper,Corrugated Board,39.28,1.25,24.62,0.328,0.236,0.963,1.053,91.9,115.37
56,Bioplastic,PLA,50.91,7.68,179.55,0.683,0.787,0.853,1.102,59.6,232.4
57,Glass,Borosilicate Glass,74.14,4.12,149.8,0.992,1,0,1.261,92.2,82.17
58,Plastic,PP,25.8,5.82,66.99,0.849,0.866,0.038,1.241,84,201.69
59,Bioplastic,PLA,50.95,1.68,33.79,0.69,0.816,0.792,1.285,53.7,239.04
60,Bioplastic,PLA,51.31,4.23,95.58,0.667,0.608,0.886,0.956,64.3,268.09
61,Plastic,PET,50.74,3.44,66.6,0.84,0.88,0.02,2.26,79.3,175.96
62,Metal,Tinplate (Coated Steel),252.51,6.8,936.88,1,0.972,0,2.123,94.8,135.29
63,Glass,Soda-Lime Glass,68.47,5.73,184.48,0.983,1,0,1.064,95.1,67.23
64,Glass,Borosilicate Glass,76.62,2.08,72.5,0.978,1,0,1.062,98.1,76.36
65,Sustainable,Hemp Fiber Board,28.75,4.63,64.89,0.455,0.42,0.987,0.862,76.9,115.37
66,Sustainable,Bagasse,19.87,2.42,18.27,0.339,0.372,1,0.499,77.6,100.43
67,Sustainable,Hemp Fiber Board,28.45,5.97,83.92,0.434,0.541,0.958,0.743,82.8,114.54
68,Metal,Tinplate (Coated Steel),255.14,4.85,476.36,1,0.913,0,2.379,90.2,164.34
69,Sustainable,Bagasse,20.5,7.38,58.39,0.376,0.433,0.906,0.52,76,87.98
70,Metal,Tinplate (Coated Steel),256.48,1.13,141.2,1,0.807,0,2.074,95.7,148.57
71,Bioplastic,PLA,51.42,6.32,164.57,0.688,0.749,0.851,1.193,56.7,232.4
72,Paper,Molded Pulp,21.44,1.49,14.21,0.184,0.138,0.962,0.757,77.4,74.7
73,Sustainable,Seaweed-based Film,17.76,0.91,8.35,0.636,0.767,0.962,0.482,79,131.97
74,Paper,Corrugated Board,32.97,3.29,56.12,0.349,0.229,1,0.864,99.7,113.71
75,Glass,Tempered Glass,82.23,4.67,186.83,0.975,0.825,0,1.111,93.8,86.32
76,Metal,Tinplate (Coated Steel),256.72,4.25,368.62,1,0.84,0,1.695,100,107.07
77,Metal,Aluminum Foil (Thin Gauge),64.71,3.72,116.91,1,0.839,0,6.198,100,250.66
78,Sustainable,Bagasse,19.54,3.28,26.53,0.339,0.369,0.939,0.515,76.4,76.36
79,Metal,Steel (304 Grade),392.83,1.16,213.35,0.926,1,0,2.768,85.5,177.62
80,Glass,Soda-Lime Glass,71.15,0.93,25.04,0.997,0.911,0,0.804,100,53.95
81,Plastic,PP,25.79,4.97,43.57,0.866,0.759,0.04,1.248,83.8,204.18
82,Plastic,HDPE,22.3,4.42,40.63,0.996,0.935,0.052,1.642,71.1,152.72
83,Bioplastic,PLA,49.4,2.02,31.92,0.68,0.771,0.892,1.24,55.1,184.26
84,Plastic,PET,45.97,4.18,95.7,0.92,0.787,0.02,2.013,83.8,188.41
85,Metal,Aluminum Foil (Thin Gauge),64.52,0.67,15.87,1,0.906,0,6.778,96.9,278.05
86,Sustainable,Bagasse,20.25,6.17,46.84,0.348,0.336,0.906,0.534,74.9,99.6
87,Paper,Molded Pulp,16.03,6.16,31.67,0.206,0.123,0.987,0.55,89,71.38
88,Glass,Soda-Lime Glass,70.77,2.54,77.98,1,1,0,1.073,94.8,58.1
89,Glass,Borosilicate Glass,74.43,2.88,72.59,1,0.85,0,1.126,96.2,83
