product_id,category,sub_category,physical_state,product_weight_kg,fragility_level_1_to_10,moisture_sensitivity_0_to_1,leakage_risk_0_to_1,compression_tolerance_index,shipping_stress_index_1_to_10,shelf_life_months,regulatory_requirement_level_1_to_5
1,Electronics & Consumer Goods,Home Appliance,Solid,0.28,5,0.35,0.14,6.99,4,47,5
2,E-commerce & Logistics Goods,Books,Solid,2.32,5,0.34,0.2,12.93,6,16,4
3,Food & Beverages,Sauce/Ketchup,Viscous Liquid,7.38,4,0.58,0.78,19.46,5,55,3
4,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),12.54,5,0.34,0.18,4.73,5,16,5
5,Luxury & Specialty Items,Artwork,Highly Fragile Solid,3.43,8,0.52,0.18,2.5,6,20,3
6,Cosmetics,Makeup Powder,Powder,7.69,4,0.91,0.19,29.44,4,61,1
7,Electronics & Consumer Goods,Home Appliance,Solid,8.17,6,0.57,0.06,22.98,6,26,4
8,Clothing & Textiles,Shoes,Solid,14.51,3,0.5,0.25,31.64,9,29,2
9,Agriculture & Raw Materials,Seeds,Granular Solid,5.83,4,0.93,0.28,21.81,7,40,5
10,Chemical Products,Pesticide Liquid,Liquid,9.32,5,0.75,0.94,13.06,9,59,1
11,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,9.14,3,0.25,0.28,8.53,7,23,1
12,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,3.58,9,0.52,0.14,5.82,3,52,5
13,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),10.77,6,0.23,0.17,7.06,9,38,3
14,Clothing & Textiles,Jeans,Solid (Flexible),5.63,5,0.56,0.26,21.67,7,3,3
15,E-commerce & Logistics Goods,Home Decor,Fragile Solid,2.78,8,0.45,0.14,2.62,8,60,4
16,Agriculture & Raw Materials,Seeds,Granular Solid,21.27,4,0.76,0.06,31.92,4,56,3
17,Cosmetics,Nail Polish,Liquid (Flammable),0.52,4,0.64,0.74,5.39,3,37,3
18,Agriculture & Raw Materials,Animal Feed,Granular Solid,4.9,5,0.9,0.2,24.07,6,67,2
19,E-commerce & Logistics Goods,Books,Solid,6.8,2,0.49,0.15,15.31,9,63,1
20,Electronics & Consumer Goods,Tablet,Solid (Fragile),2.16,9,0.23,0.06,8.17,5,54,3
21,Automotive Parts & Accessories,Engine Oil,Liquid,7.23,5,0.69,0.81,9.86,6,24,2
22,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),0.82,9,0.35,0.2,3.39,4,40,3
23,Luxury & Specialty Items,Artwork,Highly Fragile Solid,2.89,7,0.2,0.05,15.63,5,44,4
24,Automotive Parts & Accessories,Brake Fluid,Liquid,0.54,3,0.8,0.75,13.05,4,43,4
25,Clothing & Textiles,Shoes,Solid,2.78,5,0.26,0.12,10.52,8,9,2
26,Clothing & Textiles,Fabric Roll,Solid (Roll Form),0.68,5,0.57,0.15,22.26,8,47,1
27,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),2.11,2,0.38,0.16,13.17,7,31,4
28,Electronics & Consumer Goods,Home Appliance,Solid,6.71,6,0.33,0.14,3.45,7,16,4
29,Cosmetics,Lipstick,Solid,2.58,3,0.56,0.3,37.73,5,18,4
30,Electronics & Consumer Goods,Tablet,Solid (Fragile),4.12,8,0.25,0.1,13.61,4,49,3
31,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,13.88,6,0.53,0.19,2.57,7,27,2
32,Cosmetics,Makeup Powder,Powder,2.5,3,0.85,0.13,28.46,3,17,1
33,Cosmetics,Serum,Liquid,1.25,5,0.79,0.75,22.29,9,29,3
34,Cosmetics,Perfume,Liquid (Volatile),5.16,3,0.42,0.98,16.05,9,15,4
35,Food & Beverages,Sauce/Ketchup,Viscous Liquid,7.54,3,0.73,0.83,28.57,3,69,5
36,Cosmetics,Perfume,Liquid (Volatile),8.1,3,0.53,0.85,25,9,18,2
37,E-commerce & Logistics Goods,Home Decor,Fragile Solid,1.98,9,0.53,0.17,7.44,5,17,1
38,Automotive Parts & Accessories,Engine Part,Solid (Heavy),34.77,3,0.38,0.2,4.95,3,23,1
39,Agriculture & Raw Materials,Seeds,Granular Solid,22.35,5,0.74,0.06,5.73,3,3,4
40,Clothing & Textiles,Bedding,Compressible Solid,14.47,5,0.48,0.27,5.45,6,44,2
41,Pharmaceuticals & Healthcare,Powder Medicine,Powder,15.02,5,0.88,0.11,17,8,8,4
42,Luxury & Specialty Items,Watch,Solid (Fragile),1.53,8,0.43,0.25,8.13,4,45,3
43,Pharmaceuticals & Healthcare,Tablets,Solid,5.83,3,0.54,0.22,22.47,8,42,4
44,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),4.48,8,0.43,0.27,6.99,4,9,2
45,Luxury & Specialty Items,Premium Perfume,Liquid,1.02,3,0.6,0.98,10.35,9,61,4
46,Electronics & Consumer Goods,Laptop,Solid (Fragile),3.1,8,0.59,0.22,3.01,8,28,3
47,Agriculture & Raw Materials,Grains,Granular Solid,14.94,4,0.97,0.17,30.11,9,39,4
48,Agriculture & Raw Materials,Seeds,Granular Solid,6.25,4,0.95,0.28,20.91,6,65,2
49,Cosmetics,Perfume,Liquid (Volatile),4.96,3,0.42,0.95,9.36,9,17,3
50,Clothing & Textiles,Bedding,Compressible Solid,11.53,3,0.59,0.13,9.32,4,29,5
51,Cosmetics,Nail Polish,Liquid (Flammable),3.22,3,0.44,0.92,35.9,8,46,1
52,Electronics & Consumer Goods,Smartphone,Solid (Fragile),2.62,7,0.36,0.22,12.46,4,49,2
53,Pharmaceuticals & Healthcare,Powder Medicine,Powder,14.87,6,0.81,0.13,14.2,5,11,5
54,Food & Beverages,Flour,Powder,7.08,3,0.95,0.3,36.15,6,45,5
55,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,9.21,3,0.2,0.09,19.58,8,12,2
56,Food & Beverages,Juice,Liquid,6.01,4,0.51,0.78,24.01,6,43,3
57,Pharmaceuticals & Healthcare,Powder Medicine,Powder,8.58,6,0.98,0.15,23.26,9,31,4
58,Luxury & Specialty Items,Jewelry,Solid (Fragile),0.42,9,0.52,0.09,1.25,8,11,1
59,Chemical Products,Solvent,Liquid (Flammable),2.35,3,0.57,0.79,8.15,5,37,2
60,Chemical Products,Adhesive,Viscous Liquid,7.22,3,0.7,0.98,19.75,6,13,1
61,Luxury & Specialty Items,Jewelry,Solid (Fragile),1.02,9,0.38,0.17,8.14,7,24,5
62,Cosmetics,Makeup Powder,Powder,13.02,6,0.93,0.28,18.28,8,38,4
63,Cosmetics,Makeup Powder,Powder,3.64,4,0.72,0.28,34.89,9,61,1
64,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,1.62,3,0.59,0.08,28.98,9,55,4
65,Cosmetics,Lipstick,Solid,7.44,4,0.42,0.16,25.89,9,68,5
66,Pharmaceuticals & Healthcare,Powder Medicine,Powder,4.06,6,0.75,0.21,20.12,8,60,5
67,Luxury & Specialty Items,Watch,Solid (Fragile),2.61,8,0.59,0.26,9.89,3,7,5
68,Cosmetics,Serum,Liquid,4.12,3,0.47,0.86,19.23,8,14,1
69,Food & Beverages,Dry Grains,Granular Solid,3.17,3,0.84,0.16,32.11,4,25,2
70,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),12.99,3,0.53,0.09,19.84,3,18,1
71,Automotive Parts & Accessories,Engine Oil,Liquid,4.28,5,0.44,0.82,25.35,3,66,4
72,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,4.04,4,0.4,0.22,26.39,7,42,1
73,Agriculture & Raw Materials,Grains,Granular Solid,18.05,6,0.99,0.28,3.73,6,27,2
