product_id,product_category_name,product_weight_kg,product_volume_inch,length_inch,width_inch,height_inch,final_category
P000001,Packaged Snack Box,3.74,99.87,4.25,6.2,3.79,Food & Beverages
P000002,Home Utility Item,12.24,519.26,7.08,8.25,8.89,Home & Living
P000003,Industrial Equipment Part,69.67,10343.73,28.65,25.77,14.01,Industrial Goods
P000004,Home Utility Item,7.06,4120.04,17.57,9.73,24.1,Home & Living
P000005,Home Utility Item,16.24,4081.57,9.29,26.34,16.68,Home & Living
P000006,Industrial Equipment Part,24.16,4059.06,12.74,46.58,6.84,Industrial Goods
P000007,Cosmetic Kit,0.94,88.72,7.93,3.32,3.37,Cosmetics & Beauty
P000008,Packaged Snack Box,0.98,515.99,7.8,7.63,8.67,Food & Beverages
P000009,Cosmetic Kit,0.31,371.05,7.69,7.91,6.1,Cosmetics & Beauty
P000010,Consumer Electronic Device,17.27,3290.95,24.73,9.56,13.92,Electronics
P000011,Toy Action Figure,0.47,28.59,5.06,2.19,2.58,Toys
P000012,Personal Care Product,1.32,245.21,4.91,5.5,9.08,Personal Care
P000013,Folded Apparel,3.04,414.84,9.4,11.96,3.69,Apparel & Fashion
P000014,Home Utility Item,10.12,3782.59,18.31,29.94,6.9,Home & Living
P000015,Packaged Snack Box,3.06,217.24,5.53,5.28,7.44,Food & Beverages
P000016,Home Utility Item,11.29,4198.83,26.26,17.23,9.28,Home & Living
P000017,Packaged Snack Box,3.28,370.9,10.82,8.3,4.13,Food & Beverages
P000018,Folded Apparel,3.53,686.23,12.35,9.63,5.77,Apparel & Fashion
P000019,Industrial Equipment Part,50.4,10462.69,47.15,28.34,7.83,Industrial Goods
P000020,Consumer Electronic Device,23.08,1921.89,20.57,6.52,14.33,Electronics
P000021,Medicine Box,0.84,64.54,3.1,5.72,3.64,Pharmaceuticals
P000022,Cosmetic Kit,0.35,239.63,3.41,9.15,7.68,Cosmetics & Beauty
P000023,Industrial Equipment Part,44.43,11647.32,47.36,11.65,21.11,Industrial Goods
P000024,Industrial Equipment Part,43.6,15193.94,53.11,24.62,11.62,Industrial Goods
P000025,Folded Apparel,3.62,391.26,11.99,11.37,2.87,Apparel & Fashion
P000026,Packaged Snack Box,2.86,63.42,6.48,4.51,2.17,Food & Beverages
P000027,Toy Action Figure,1.37,45.1,3.64,5.79,2.14,Toys
P000028,Packaged Snack Box,2.79,334.82,9.14,6.23,5.88,Food & Beverages
P000029,Cosmetic Kit,0.38,230.6,8.49,8.65,3.14,Cosmetics & Beauty
P000030,Home Utility Item,13.24,2745.1,19.98,26.73,5.14,Home & Living
P000031,Toy Action Figure,0.45,142.01,6.62,4.04,5.31,Toys
P000032,Industrial Equipment Part,20.73,10416.56,30.23,24.56,14.03,Industrial Goods
P000033,Medicine Box,0.67,49.22,7.04,5.42,1.29,Pharmaceuticals
P000034,Packaged Snack Box,2.53,476.44,13.26,10.79,3.33,Food & Beverages
P000035,Home Utility Item,8.11,1478.11,36.68,9.95,4.05,Home & Living
P000036,Folded Apparel,2.31,999.03,12.23,13.66,5.98,Apparel & Fashion
P000037,Consumer Electronic Device,18.45,130.45,11.93,8.1,1.35,Electronics
P000038,Toy Action Figure,0.84,93.9,3.45,4.86,5.6,Toys
P000039,Industrial Equipment Part,54.34,3723.51,10.33,14.18,25.42,Industrial Goods
P000040,Home Utility Item,12.09,2529.91,10.08,27.37,9.17,Home & Living
P000041,Home Utility Item,5.58,5903.17,28.35,19.57,10.64,Home & Living
P000042,Cosmetic Kit,1.43,111.83,4.86,3.92,5.87,Cosmetics & Beauty
P000043,Medicine Box,0.56,33.76,6.11,4.25,1.3,Pharmaceuticals
P000044,Consumer Electronic Device,9.36,16553.06,46.86,26.66,13.25,Electronics
P000045,Industrial Equipment Part,52.66,57242.49,43.99,32.91,39.54,Industrial Goods
P000046,Industrial Equipment Part,11.61,29490.13,22.17,35.19,37.8,Industrial Goods
P000047,Packaged Snack Box,1.21,254.32,11.42,5.24,4.25,Food & Beverages
P000048,Cosmetic Kit,0.83,352.38,7.81,8.97,5.03,Cosmetics & Beauty
P000049,Home Utility Item,3.05,2655.97,34.2,7.06,11,Home & Living
P000050,Consumer Electronic Device,0.44,4424.06,37.84,17.45,6.7,Electronics
P000051,Industrial Equipment Part,34.95,4225.84,7.95,22.25,23.89,Industrial Goods
P000052,Folded Apparel,0.35,918.9,11.65,13.46,5.86,Apparel & Fashion
P000053,Cosmetic Kit,1.72,245.54,7.77,7.67,4.12,Cosmetics & Beauty
P000054,Cosmetic Kit,2.66,610.28,9.05,9.83,6.86,Cosmetics & Beauty
P000055,Personal Care Product,1.5,373.91,10.04,5.06,7.36,Personal Care
P000056,Folded Apparel,0.35,324,9.59,11.61,2.91,Apparel & Fashion
P000057,Cosmetic Kit,2.48,170.12,4.4,9.43,4.1,Cosmetics & Beauty
P000058,Toy Action Figure,0.2,93.8,8.94,4.39,2.39,Toys
P000059,Personal Care Product,1.12,431.92,8.77,5,9.85,Personal Care
P000060,Packaged Snack Box,4.92,516.39,12.77,6.09,6.64,Food & Beverages
