iter	RMSE
0	11.0572104
1	10.13347002
2	9.264212213
3	8.533683582
4	7.815530978
5	7.183864064
6	6.60116639
7	6.066789584
8	5.555703965
9	5.111994872
10	4.705142428
11	4.309131778
12	3.957710836
13	3.649085738
14	3.377427861
15	3.117911834
16	2.879366331
17	2.65021506
18	2.45483813
19	2.282940636
20	2.120501356
21	1.978327725
22	1.833224087
23	1.703329936
24	1.592940275
25	1.49177984
26	1.390407921
27	1.299386403
28	1.215760338
29	1.136506057
30	1.060232784
31	1.000784435
32	0.946663332
33	0.8925236934
34	0.8443527577
35	0.8028422707
36	0.7606045297
37	0.7203300246
38	0.6840972064
39	0.6521500443
40	0.6251192911
41	0.6005080864
42	0.5774748198
43	0.5560433722
44	0.537518126
45	0.5186017198
46	0.5025234555
47	0.4882456478
48	0.4749448902
49	0.4631618997
50	0.4517650217
51	0.4417102482
52	0.4320794055
53	0.4249423109
54	0.4170743136
55	0.4095901199
56	0.4038809639
57	0.3967369727
58	0.3906915111
59	0.382294139
60	0.3746100423
61	0.370301428
62	0.3663472419
63	0.361918912
64	0.3581418409
65	0.351855387
66	0.3488992787
67	0.345058521
68	0.3423503024
69	0.339359762
70	0.3361249761
71	0.3337730446
72	0.3308271418
73	0.3252379234
74	0.3223159017
75	0.3201547057
76	0.3182255454
77	0.3158246874
78	0.3138848674
79	0.3095318237
80	0.308061666
81	0.3061849879
82	0.3041087338
83	0.3004222685
84	0.2973633995
85	0.2950895147
86	0.2941025504
87	0.2921975496
88	0.2898319281
89	0.2861152488
90	0.2838979118
91	0.282220082
92	0.2812408119
93	0.2799882142
94	0.2782479076
95	0.2755643608
96	0.2730217357
97	0.271894042
98	0.2689602171
99	0.2680724711
100	0.2665028018
101	0.2641547592
102	0.263532114
103	0.261452035
104	0.2595054934
105	0.2579182639
106	0.2562488511
107	0.2548649383
108	0.2519279082
109	0.2498362179
110	0.2484101595
111	0.2476064297
112	0.2463262
113	0.2451478979
114	0.243432036
115	0.2417011434
116	0.2393046477
117	0.2374757117
118	0.2363289681
119	0.2340348502
120	0.2328306829
121	0.2316547551
122	0.2297198948
123	0.22860708
124	0.2276428986
125	0.2262688015
126	0.2253120222
127	0.2235640988
128	0.22166232
129	0.2200906229
130	0.2182738338
131	0.2163086454
132	0.2148633015
133	0.2139340638
134	0.2128137758
135	0.2122708637
136	0.2111264306
137	0.2099171479
138	0.208833565
139	0.2074032942
140	0.2063943119
141	0.2051641765
142	0.2033606272
143	0.202261089
144	0.201081944
145	0.2002612364
146	0.1993187638
147	0.1981849343
148	0.1976548775
149	0.1967352781
150	0.1957531382
151	0.1948981924
152	0.1941363939
153	0.1933519829
154	0.1929484325
155	0.1922606418
156	0.1919382016
157	0.1907010756
158	0.189726313
159	0.1888894491
160	0.1878243139
161	0.1868973989
162	0.1855847848
163	0.1847574288
164	0.1837027878
165	0.182461537
166	0.1816751059
167	0.1810310073
168	0.1803752116
169	0.1797412586
170	0.1787939832
171	0.1780455185
172	0.1774540425
173	0.176829641
174	0.1759259366
175	0.1749072251
176	0.1739990978
177	0.173478953
178	0.1727041604
179	0.1723323503
180	0.1715971346
181	0.1708030178
182	0.1702534322
183	0.1695330678
184	0.1687166536
185	0.1680570249
186	0.167537919
187	0.166779498
188	0.1658585253
189	0.1651198783
190	0.1644550764
191	0.1629465999
192	0.1622805908
193	0.1614018148
194	0.1612733836
195	0.1606002568
196	0.1600328766
197	0.1593970347
198	0.1586159638
199	0.1574730892
