iter	Passed	Remaining
0	11	2244
1	18	1860
2	23	1527
3	34	1702
4	37	1451
5	47	1533
6	54	1499
7	64	1536
8	71	1515
9	80	1538
10	88	1521
11	97	1528
12	103	1491
13	112	1496
14	119	1473
15	126	1451
16	135	1460
17	148	1501
18	155	1481
19	165	1492
20	179	1527
21	186	1509
22	196	1512
23	202	1487
24	216	1513
25	224	1504
26	234	1505
27	245	1505
28	252	1490
29	261	1480
30	268	1463
31	278	1463
32	286	1447
33	295	1444
34	305	1439
35	315	1436
36	329	1449
37	351	1499
38	370	1530
39	383	1535
40	395	1534
41	403	1517
42	410	1500
43	416	1478
44	424	1461
45	431	1443
46	437	1423
47	445	1409
48	451	1389
49	458	1375
50	464	1356
51	471	1342
52	478	1326
53	483	1308
54	491	1296
55	497	1279
56	506	1270
57	513	1256
58	519	1240
59	526	1228
60	532	1214
61	540	1202
62	546	1187
63	554	1177
64	560	1163
65	566	1149
66	573	1139
67	580	1127
68	589	1118
69	595	1105
70	601	1093
71	609	1083
72	615	1071
73	623	1061
74	630	1051
75	638	1041
76	644	1030
77	650	1018
78	659	1009
79	665	997
80	673	989
81	679	978
82	687	969
83	694	959
84	700	947
85	708	939
86	714	928
87	722	919
88	728	909
89	737	901
90	743	890
91	749	880
92	756	870
93	763	861
94	774	855
95	787	852
96	795	844
97	803	836
98	810	827
99	818	818
100	825	809
101	831	799
102	839	790
103	845	780
104	854	772
105	860	763
106	868	754
107	874	744
108	880	735
109	888	727
110	894	717
111	903	709
112	909	700
113	917	692
114	925	684
115	931	674
116	940	667
117	946	657
118	954	649
119	960	640
120	967	631
121	974	623
122	980	614
123	989	606
124	995	597
125	1004	589
126	1010	580
127	1018	572
128	1025	564
129	1034	556
130	1041	548
131	1048	540
132	1055	531
133	1064	524
134	1071	516
135	1077	507
136	1087	500
137	1093	491
138	1102	483
139	1109	475
140	1118	468
141	1124	459
142	1132	451
143	1139	443
144	1145	434
145	1154	426
146	1160	418
147	1168	410
148	1174	401
149	1183	394
150	1191	386
151	1201	379
152	1210	371
153	1223	365
154	1230	357
155	1237	349
156	1243	340
157	1252	333
158	1258	324
159	1266	316
160	1272	308
161	1278	299
162	1286	292
163	1293	283
164	1302	276
165	1309	268
166	1319	260
167	1326	252
168	1335	244
169	1380	243
170	1411	239
171	1433	233
172	1439	224
173	1445	215
174	1452	207
175	1459	198
176	1466	190
177	1472	182
178	1478	173
179	1486	165
180	1492	156
181	1501	148
182	1507	140
183	1515	131
184	1521	123
185	1527	114
186	1535	106
187	1541	98
188	1549	90
189	1554	81
190	1562	73
191	1568	65
192	1574	57
193	1582	48
194	1588	40
195	1597	32
196	1603	24
197	1615	16
198	1624	8
199	1633	0
