Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Mushroom Mycelium,11.5,8.5,100,0.29,100,5,6.058
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,7.4452
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,7.2436
Virgin Plastic (PP),83.3,6.1,4.3,3.82,17,10,27.75
Mushroom Mycelium,23,7.4,100,0.27,100,4,9.174
Virgin Plastic (PP),63.2,5.2,0.8,3.54,28.6,10,21.3708
Bioplastic (PLA),67.7,5.3,92.7,1.53,55.9,8,22.2942
Recycled Cardboard,31.9,2.4,91.8,0.86,99.5,3,10.463
Edible Seaweed Film,10.7,7.1,100,0.53,2.5,3,5.641
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,23.0734
Edible Seaweed Film,6.3,2,100,0.31,0.8,2,2.7504
Edible Seaweed Film,10.5,7.3,100,0.25,6.7,2,5.5766
Bagasse (Sugarcane),29.6,8.5,97.9,1.17,66.3,7,11.7314
Aluminum Foil,35.6,3.6,0,9.89,95.4,10,13.7472
Virgin Plastic (PP),69.7,5.7,4.4,5.91,15.9,10,23.9702
Recycled Cardboard,27.3,1.5,92.7,0.92,95.9,4,8.8322
Recycled Cardboard,16.5,3.2,97,0.92,85.3,4,6.1234
Virgin Plastic (PP),72.3,7.3,3.7,5.88,13,10,25.23
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,14.5694
Virgin Plastic (PP),81.3,7.8,3.8,3.92,19.7,10,27.6746
Mushroom Mycelium,23.6,0.6,100,0.26,100,5,7.312
Virgin Plastic (PP),60,8.7,1,5.16,17.9,10,21.8062
Bamboo Fiber,53.8,5.6,97.6,0.68,31,7,18.094
Bioplastic (PLA),69.2,6,87.9,1.59,44.5,8,22.989
Bamboo Fiber,46.6,9.6,96.1,0.78,45.9,6,17.1242
Virgin Plastic (PP),66.3,8,2,3.63,25,10,23.166
Bamboo Fiber,41,4.9,97,1.14,35.2,6,14.1276
Recycled Cardboard,26.6,9.6,97,1.2,92.4,5,11.1152
Edible Seaweed Film,12.8,9.4,100,0.22,1.2,3,6.9016
Bamboo Fiber,43.8,5.5,99.5,0.76,46,8,15.05
Recycled Cardboard,15.5,7.9,93.4,1.4,89,5,7.322
Mushroom Mycelium,16,1.1,100,0.27,100,4,5.184
Bagasse (Sugarcane),24.5,3.8,97,1.08,60.4,7,8.7852
Mushroom Mycelium,17.2,3.2,100,0.27,100,6,6.174
Recycled Cardboard,32.9,1.2,94.3,0.99,80.9,5,10.4662
Bagasse (Sugarcane),37.7,3.9,97.3,0.97,69.8,7,12.7344
Mushroom Mycelium,21.1,6.9,100,0.25,100,5,8.45
Virgin Plastic (PP),79.2,5.9,4.1,5.23,25,10,26.726
Mushroom Mycelium,22,7.7,100,0.28,100,5,8.966
Aluminum Foil,32.6,1.6,0,8.67,98.7,10,11.9966
Mushroom Mycelium,13.3,6.9,100,0.22,100,6,6.104
Bamboo Fiber,56.4,8.6,95.7,0.85,33.3,8,19.8034
Virgin Plastic (PP),85.6,7.6,0.5,4.43,12.2,10,29.0216
Virgin Plastic (PP),61.4,6.7,3.4,4.11,17.9,10,21.4162
Recycled Cardboard,19.6,9.8,97.9,0.84,92.8,5,9.0024
Virgin Plastic (PP),69.4,0.7,1.3,3.52,18.6,10,21.8968
Bamboo Fiber,41.6,9.2,99.5,0.62,37.2,7,15.4896
Bagasse (Sugarcane),32,3.9,95.2,1.03,66,5,11.044
Aluminum Foil,34.3,1.4,0,8.98,97.2,10,12.5116
Bioplastic (PLA),53.7,5,84.6,1.92,54.2,8,18.0856
Recycled Cardboard,17.1,2,91.9,1.27,98.5,3,5.987
Mushroom Mycelium,13.4,1.3,100,0.25,100,5,4.46
Bioplastic (PLA),67.2,5.5,91.3,2.02,47,8,22.32
Bamboo Fiber,46.7,9.7,99,0.51,32.3,6,17.1574
Recycled Cardboard,21,9.3,90.5,1.3,85.8,5,9.3784
Recycled Cardboard,34.6,3.9,98,1.38,83.6,4,11.8588
Virgin Plastic (PP),65.8,8.9,2,5.93,22.2,10,23.7516
Bamboo Fiber,57.6,7.4,95.8,0.83,42.3,6,19.7814
Bamboo Fiber,47.4,7.6,98.5,0.57,44.7,6,16.7246
Virgin Plastic (PP),67.8,4.7,0.7,4.66,25.2,10,22.8316
Edible Seaweed Film,11.8,7,100,0.5,2.1,3,5.9358
Edible Seaweed Film,13.8,4.2,100,0.33,9.4,2,5.6472
Bagasse (Sugarcane),40,1.3,97.5,1.02,61.5,7,12.671
Bagasse (Sugarcane),36.5,8.7,95.9,1.11,64.5,6,13.853
Recycled Cardboard,25.1,2.8,98.1,0.9,85.5,3,8.579
Virgin Plastic (PP),85.4,1.2,0.4,4.95,15.6,10,27.1388
Bamboo Fiber,50,1.1,96.6,0.81,47.3,8,15.5974
Edible Seaweed Film,5.6,1.4,100,0.46,2.2,2,2.3876
Recycled Cardboard,19.3,2.4,95.7,1.1,95.9,5,6.7382
Bioplastic (PLA),51.4,9.8,95,2.19,44.4,9,18.9092
Mushroom Mycelium,11.3,4.3,100,0.3,100,4,4.74
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,29.7608
Bioplastic (PLA),60.9,1.1,88.1,2.12,41.4,8,19.1412
Mushroom Mycelium,14.3,4,100,0.25,100,5,5.54
Mushroom Mycelium,16.3,1.7,100,0.32,100,5,5.464
Aluminum Foil,34.4,0.7,0,11.43,90.1,10,12.8358
Virgin Plastic (PP),66.9,2.2,1,5.04,29.9,10,21.8782
Edible Seaweed Film,7.3,10,100,0.32,0.2,4,5.4536
Bagasse (Sugarcane),37,3.7,98.3,1.1,59.1,6,12.5118
Edible Seaweed Film,12,6.6,100,0.26,4.5,3,5.823
Bamboo Fiber,43.1,7,95.4,1.01,47.9,8,15.3362
Mushroom Mycelium,11,4.4,100,0.31,100,5,4.682
Aluminum Foil,37.7,2.7,0,8.66,90.7,10,13.8706
Bagasse (Sugarcane),30.3,7.4,97.6,0.99,56.9,7,11.5942
Bagasse (Sugarcane),21.7,9.8,99.8,1.13,69.4,7,9.7372
Edible Seaweed Film,10.9,8.7,100,0.35,1.5,4,6.147
Edible Seaweed Film,14.5,9.3,100,0.37,4.4,3,7.4052
Bioplastic (PLA),53.9,2.4,92.9,2.29,59.6,9,17.4288
Bagasse (Sugarcane),27.6,3.3,98,1.26,56.8,6,9.6084
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,7.1262
Edible Seaweed Film,12.4,0.9,100,0.4,1.9,4,4.2662
Edible Seaweed Film,14.7,6.5,100,0.37,5.5,2,6.623
Recycled Cardboard,21.4,2.6,91.1,1.01,81.3,4,7.4394
Edible Seaweed Film,8.4,2,100,0.47,7.8,3,3.3984
Bioplastic (PLA),59.4,8.8,84.3,2.25,49.3,8,21.0114
Aluminum Foil,24.5,9.1,0,9.5,94.2,10,11.9916
Bagasse (Sugarcane),36.2,1.6,98.7,1.28,64.2,5,11.6676
Bamboo Fiber,50.9,3.9,96.5,0.93,47.4,6,16.7312
Bagasse (Sugarcane),38.9,4.7,98.9,1.33,57.6,6,13.4308
Aluminum Foil,33.3,7.9,0,8.77,90,10,14.134
Aluminum Foil,30.7,4.2,0,9.69,96.4,10,12.4152
Virgin Plastic (PP),79.6,7.9,2.6,3.99,12.3,10,27.2234
Recycled Cardboard,15.1,7,95.7,1.05,82.7,5,6.8746
Bamboo Fiber,51.2,8.7,99.9,1.16,36.4,8,18.3292
Bagasse (Sugarcane),25,9.6,99.5,1.15,56.2,7,10.6976
Aluminum Foil,23.7,1.3,0,10.76,91.4,10,9.6692
Mushroom Mycelium,12.2,2.7,100,0.39,100,6,4.548
Mushroom Mycelium,17.4,1.1,100,0.2,100,6,5.59
Bamboo Fiber,52.7,5.9,98.6,0.93,43.1,8,17.8798
Bamboo Fiber,55.7,9.6,99.1,0.89,46.5,7,19.875
Virgin Plastic (PP),72.5,3.2,1.9,5.21,18.2,10,23.9156
Bamboo Fiber,45.1,4.7,99.3,1.03,34,6,15.278
Recycled Cardboard,16.4,5.1,95.9,0.91,84.3,5,6.6634
Edible Seaweed Film,6.2,7.5,100,0.24,3.1,4,4.3518
Mushroom Mycelium,16.7,5.8,100,0.23,100,6,6.796
Bamboo Fiber,58.6,1.5,98.5,0.93,36.5,6,18.343
Aluminum Foil,34,5,0,9.17,98.1,10,13.5378
Mushroom Mycelium,17.2,0.7,100,0.24,100,5,5.418
Edible Seaweed Film,14.3,7.9,100,0.41,2.2,3,6.9376
Virgin Plastic (PP),83.4,5,2.1,4.87,21.8,10,27.6504
Bagasse (Sugarcane),39,5,97.2,1.3,53.9,5,13.5522
Recycled Cardboard,34.4,3.6,99.3,1.13,95.7,5,11.6346
