material_id,material_name,material_type,recommended_product_category,max_weight_capacity_kg,moisture_resistance_level,suitable_for_fragile,suitable_for_liquid,suitable_for_moisture_sensitive,suitable_for_temperature_sensitive,recyclable_percent,biodegradable_days,co2_per_kg,cost_per_kg_inr,suitability_score,strength_rating_per_kg
1,Kraft Paper Variant 1-1,Kraft Paper,Industrial Goods,19.4,5,True,False,False,False,95,211,0.868,92.07,0.626,3.8
2,Kraft Paper Variant 1-2,Kraft Paper,Food & Beverages,47.0,2,True,True,True,False,84,108,1.28,81.98,0.663,8.5
3,Kraft Paper Variant 1-3,Kraft Paper,Apparel & Fashion,48.7,3,True,False,False,False,77,148,1.77,117.25,0.615,9.2
4,Kraft Paper Variant 1-4,Kraft Paper,Apparel & Fashion,5.8,4,True,False,False,False,94,265,1.019,71.28,0.609,3.1
5,PET Plastic Variant 2-1,PET Plastic,Industrial Goods,21.8,2,False,True,False,False,40,-1,2.221,247.5,0.373,5.1
6,PET Plastic Variant 2-2,PET Plastic,Industrial Goods,3.2,5,True,True,False,True,54,-1,4.005,122.55,0.332,1.0
7,PET Plastic Variant 2-3,PET Plastic,Home & Living,49.4,1,True,True,False,False,14,-1,3.628,248.21,0.364,10.0
8,PET Plastic Variant 2-4,PET Plastic,Electronics,42.7,4,True,True,True,True,44,-1,2.687,194.61,0.467,9.3
9,Air Cushion Film Variant 3-1,Air Cushion Film,Electronics,19.8,3,False,False,False,False,71,640,3.687,114.29,0.396,1.3
10,Air Cushion Film Variant 3-2,Air Cushion Film,Electronics,28.6,4,False,True,False,False,65,704,1.869,93.09,0.533,6.5
11,Air Cushion Film Variant 3-3,Air Cushion Film,Electronics,46.6,5,True,True,False,True,87,527,3.72,140.57,0.608,10.0
12,Air Cushion Film Variant 3-4,Air Cushion Film,Apparel & Fashion,32.7,1,False,False,True,False,38,497,1.36,117.76,0.459,6.3
13,Air Cushion Film Variant 3-5,Air Cushion Film,Apparel & Fashion,47.2,1,True,True,True,True,66,804,1.8,249.62,0.562,10.0
14,Air Cushion Film Variant 3-6,Air Cushion Film,Home & Living,21.1,5,True,False,False,False,55,851,2.778,173.99,0.421,5.2
15,Air Cushion Film Variant 3-7,Air Cushion Film,Home & Living,19.1,1,False,True,False,False,62,380,1.56,134.53,0.446,2.9
16,Corrugated Cardboard Variant 4-1,Corrugated Cardboard,Apparel & Fashion,30.0,3,True,False,False,True,36,999,1.277,115.24,0.455,6.1
17,Corrugated Cardboard Variant 4-2,Corrugated Cardboard,Industrial Goods,42.0,3,True,True,False,False,55,803,1.436,84.42,0.581,9.2
18,Corrugated Cardboard Variant 4-3,Corrugated Cardboard,Industrial Goods,5.6,4,False,False,True,True,48,995,1.828,107.73,0.366,1.0
19,Corrugated Cardboard Variant 4-4,Corrugated Cardboard,Industrial Goods,44.5,4,True,True,False,False,83,342,1.069,92.16,0.68,9.1
20,Corrugated Cardboard Variant 4-5,Corrugated Cardboard,Home & Living,12.6,5,True,True,False,False,62,867,1.241,47.49,0.481,1.3
21,Corrugated Cardboard Variant 4-6,Corrugated Cardboard,Cosmetics & Beauty,13.0,5,True,False,False,True,62,632,1.399,58.41,0.517,4.0
22,Corrugated Cardboard Variant 4-7,Corrugated Cardboard,Apparel & Fashion,38.7,1,False,False,True,False,89,924,1.197,116.25,0.674,8.9
23,Corrugated Cardboard Variant 4-8,Corrugated Cardboard,Cosmetics & Beauty,29.0,4,False,True,True,False,54,914,1.916,107.54,0.459,4.9
24,Air Cushion Film Variant 5-1,Air Cushion Film,Pharmaceuticals,11.2,2,True,True,True,False,38,990,2.658,200.51,0.297,1.7
25,Air Cushion Film Variant 5-2,Air Cushion Film,Pharmaceuticals,21.6,2,False,False,False,False,75,579,3.66,88.63,0.493,4.9
26,Air Cushion Film Variant 5-3,Air Cushion Film,Electronics,29.4,3,True,False,True,False,51,484,3.468,86.35,0.467,7.0
27,Air Cushion Film Variant 5-4,Air Cushion Film,Pharmaceuticals,7.2,1,False,True,False,False,59,226,1.415,198.92,0.388,1.0
28,Air Cushion Film Variant 5-5,Air Cushion Film,Pharmaceuticals,48.5,2,True,False,True,False,84,525,3.888,84.31,0.622,10.0
29,Air Cushion Film Variant 5-6,Air Cushion Film,Apparel & Fashion,35.1,5,True,False,False,True,68,883,2.835,174.24,0.499,7.2
30,Glass Bottle Variant 6-1,Glass Bottle,Food & Beverages,13.1,3,False,True,True,True,96,-1,3.459,97.37,0.521,3.2
31,Glass Bottle Variant 6-2,Glass Bottle,Apparel & Fashion,1.8,2,True,False,True,False,84,-1,2.022,166.4,0.466,2.0
32,Glass Bottle Variant 6-3,Glass Bottle,Apparel & Fashion,46.7,1,False,False,False,False,81,-1,2.672,63.18,0.605,7.9
33,Glass Bottle Variant 6-4,Glass Bottle,Pharmaceuticals,29.2,2,False,True,False,False,87,-1,1.892,168.64,0.579,7.0
34,Glass Bottle Variant 6-5,Glass Bottle,Food & Beverages,5.9,2,True,False,True,False,89,-1,3.129,62.79,0.495,1.6
35,Glass Bottle Variant 6-6,Glass Bottle,Electronics,6.8,5,True,False,True,False,84,-1,3.114,150.07,0.433,1.4
36,Recycled Paper Variant 7-1,Recycled Paper,Electronics,21.2,2,True,False,False,False,71,242,1.705,100.07,0.518,4.7
37,Recycled Paper Variant 7-2,Recycled Paper,Food & Beverages,45.2,4,False,True,False,True,73,282,1.488,116.05,0.608,8.8
38,Recycled Paper Variant 7-3,Recycled Paper,Pharmaceuticals,23.0,3,False,False,True,False,75,116,1.917,49.08,0.542,4.0
39,Recycled Paper Variant 7-4,Recycled Paper,Food & Beverages,49.8,2,True,False,True,True,76,312,1.311,107.08,0.654,10.0
40,Recycled Paper Variant 7-5,Recycled Paper,Home & Living,20.4,3,False,True,True,False,60,204,1.983,115.78,0.443,3.5
41,Recycled Paper Variant 7-6,Recycled Paper,Food & Beverages,19.4,3,False,False,False,False,72,301,0.868,77.49,0.567,3.9
42,Recycled Paper Variant 7-7,Recycled Paper,Pharmaceuticals,6.8,1,False,False,True,False,84,176,0.815,117.06,0.529,1.0
43,Paperboard Variant 8-1,Paperboard,Home & Living,3.1,5,True,False,False,True,100,364,1.345,95.66,0.55,1.0
44,Paperboard Variant 8-2,Paperboard,Electronics,29.6,1,False,False,True,True,83,215,1.004,66.85,0.641,6.1
45,Paperboard Variant 8-3,Paperboard,Cosmetics & Beauty,20.0,4,False,True,False,False,92,271,1.125,88.22,0.609,4.3
46,Paperboard Variant 8-4,Paperboard,Electronics,4.7,2,True,False,False,True,89,301,0.998,84.13,0.582,2.8
47,Paperboard Variant 8-5,Paperboard,Home & Living,39.1,2,False,True,False,True,94,65,1.441,95.34,0.661,7.7
48,Paperboard Variant 8-6,Paperboard,Food & Beverages,45.7,5,False,False,True,True,68,60,1.527,116.32,0.615,10.0
49,Paperboard Variant 8-7,Paperboard,Pharmaceuticals,33.9,2,True,True,False,False,71,113,0.906,117.44,0.6,6.9
50,Paper Cushioning Variant 9-1,Paper Cushioning,Home & Living,29.9,5,False,False,True,True,93,353,1.564,88.65,0.652,7.5
51,Paper Cushioning Variant 9-2,Paper Cushioning,Apparel & Fashion,5.5,2,True,False,False,True,64,344,1.912,51.77,0.469,2.1
52,Paper Cushioning Variant 9-3,Paper Cushioning,Industrial Goods,13.7,5,False,False,True,False,70,170,0.954,50.31,0.559,3.1
53,Paper Cushioning Variant 9-4,Paper Cushioning,Electronics,7.8,4,True,True,False,False,78,336,1.134,53.51,0.525,1.0
54,Paper Cushioning Variant 9-5,Paper Cushioning,Electronics,5.3,1,False,True,False,True,85,360,0.911,65.73,0.565,1.6
55,Paper Cushioning Variant 9-6,Paper Cushioning,Industrial Goods,34.7,3,False,True,True,False,74,362,1.381,69.64,0.59,6.2
56,PLA Bioplastic Variant 10-1,PLA Bioplastic,Electronics,19.1,2,False,True,True,False,76,482,0.982,256.42,0.523,4.4
57,PLA Bioplastic Variant 10-2,PLA Bioplastic,Pharmaceuticals,27.1,1,False,True,False,False,54,264,1.606,218.59,0.45,5.5
58,PLA Bioplastic Variant 10-3,PLA Bioplastic,Apparel & Fashion,32.8,2,True,False,False,False,78,714,1.374,225.75,0.536,5.7
59,PLA Bioplastic Variant 10-4,PLA Bioplastic,Pharmaceuticals,30.8,3,True,False,False,True,40,565,1.095,207.02,0.438,5.5
60,PLA Bioplastic Variant 10-5,PLA Bioplastic,Electronics,4.9,3,True,False,False,False,49,194,2.189,323.1,0.308,1.0
61,PLA Bioplastic Variant 10-6,PLA Bioplastic,Cosmetics & Beauty,9.4,3,False,False,False,False,55,237,1.139,292.19,0.384,1.4
62,Starch-based Bioplastic Variant 11-1,Starch-based Bioplastic,Industrial Goods,27.0,1,False,True,False,True,65,378,1.372,160.36,0.516,5.9
63,Starch-based Bioplastic Variant 11-2,Starch-based Bioplastic,Pharmaceuticals,4.1,4,True,False,True,True,64,725,2.246,171.34,0.422,3.2
64,Starch-based Bioplastic Variant 11-3,Starch-based Bioplastic,Food & Beverages,21.0,5,False,False,True,True,69,439,2.231,264.89,0.427,3.6
65,Starch-based Bioplastic Variant 11-4,Starch-based Bioplastic,Apparel & Fashion,40.0,4,True,True,False,False,74,161,2.188,228.49,0.493,5.8
66,Starch-based Bioplastic Variant 11-5,Starch-based Bioplastic,Food & Beverages,19.5,3,False,False,False,False,46,344,1.704,228.3,0.396,4.3
67,Starch-based Bioplastic Variant 11-6,Starch-based Bioplastic,Food & Beverages,12.2,3,True,True,False,False,56,539,2.079,349.54,0.392,4.1
68,Starch-based Bioplastic Variant 11-7,Starch-based Bioplastic,Apparel & Fashion,39.2,1,True,False,False,False,62,237,0.988,314.25,0.541,7.8
69,Starch-based Bioplastic Variant 12-1,Starch-based Bioplastic,Home & Living,7.2,5,False,False,False,False,65,411,1.818,293.24,0.382,1.5
