Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Strength_to_Weight_Ratio,Strength_to_Weight_Ratio_Normalized,Environmental_Impact_Raw,Environmental_Impact_Score,CO2_Impact_Index_Raw,CO2_Impact_Index,Cost_Efficiency_Raw,Cost_Efficiency_Index,Durability_Score,Durability_Score_Normalized,Material_Suitability_Score
Mushroom Mycelium,11.5,8.5,100.0,0.29,100.0,5,Highly Recommended,1.3372093023255816,0.5497193263833201,99.85499999999999,99.81249383203392,2.564102564102564,50.46119283692998,23.501762632197416,5.688661946547315,26.9,19.156626506024097,46.62524465669408
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,Highly Recommended,2.1153846153846154,1.070291777188329,97.08,94.33533997828876,1.0204081632653061,19.067104516617093,24.669260700389103,5.987337605590844,25.9,17.95180722891566,37.06464590581526
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,Highly Recommended,28.0,18.386206896551723,90.99,82.3152077370966,0.7692307692307692,13.958913874667871,224.92957746478874,57.219013031414946,33.44,27.036144578313248,45.5221357724811
Virgin Plastic (PP),83.3,6.1,4.3,3.82,17.0,10,Avoid,13.435483870967744,8.64304783092325,52.78,6.8982532320142065,0.25510204081632654,3.5030861544280727,3.4860883797054014,0.568144096078262,89.97999999999999,95.15662650602408,18.19667508642287
Mushroom Mycelium,23.0,7.4,100.0,0.27,100.0,4,Highly Recommended,3.066666666666667,1.7066666666666668,99.86500000000001,99.8322313233988,2.7027027027027026,53.279901637104665,26.99055330634278,6.581183212538996,29.799999999999997,22.65060240963855,48.15413847691605
Virgin Plastic (PP),63.2,5.2,0.8,3.54,28.6,10,Avoid,11.924528301886793,7.632270657124268,54.19,9.681239514457696,0.2747252747252747,3.9021635483303543,5.642994241842611,1.11993539871099,77.92,80.62650602409639,16.96110279048898
Bioplastic (PLA),67.7,5.3,92.7,1.53,55.9,8,Highly Recommended,12.537037037037038,8.042017879948915,88.225,76.85779137471624,0.6134969325153374,10.791757330177123,27.984934086629004,6.83557107234267,72.62,74.2409638554217,39.06273732573583
Recycled Cardboard,31.9,2.4,91.8,0.86,99.5,3,Highly Recommended,12.76,8.191172413793103,97.01,94.19717753873482,1.0416666666666667,19.499438360011233,79.37759336099586,19.98311863321015,31.139999999999997,24.26506024096385,41.58951285578917
Edible Seaweed Film,10.7,7.1,100.0,0.53,2.5,3,Consider as Option,1.4861111111111112,0.6493295019157088,80.235,61.0875357742031,1.5873015873015872,30.596007007127472,14.416315049226442,3.3643736941887106,18.419999999999998,8.939759036144576,28.054034028493795
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,Consider as Option,30.291666666666668,19.91925287356322,85.47,71.42011250370078,0.390625,6.259214406065711,61.51515151515152,15.41345232215777,75.62,77.855421686747,39.74376635742659
Edible Seaweed Film,6.3,2.0,100.0,0.31,0.8,2,Consider as Option,3.0,1.6620689655172414,80.005,60.6335734728116,2.4390243902439024,47.91748001726015,50.149253731343286,12.505766987433123,11.78,0.9397590361445773,32.97776619561855
Edible Seaweed Film,10.5,7.3,100.0,0.25,6.7,2,Consider as Option,1.418918918918919,0.604380242311277,81.215,63.02180992795816,2.857142857142857,56.42074858587074,14.596443228454174,3.4104550574979307,14.3,3.975903614457832,34.35064470275452
Bagasse (Sugarcane),29.6,8.5,97.9,1.17,66.3,7,Highly Recommended,3.4418604651162794,1.9576583801122698,92.045,84.39751307608803,0.7874015748031495,14.328453256738019,19.294947121034077,4.6124516901848525,45.760000000000005,41.879518072289166,36.301551123902485
Aluminum Foil,35.6,3.6,0.0,9.89,95.4,10,Avoid,9.621621621621621,6.0917054986020505,64.135,29.310174676798574,0.10010010010010009,0.35081416715789066,26.426592797783936,6.436907790456944,61.36,60.674698795180724,19.878512872057748
Virgin Plastic (PP),69.7,5.7,4.4,5.91,15.9,10,Avoid,12.017241379310345,7.694292508917955,51.545,4.4606730484555435,0.1663893510815308,1.6989376032924628,3.555166374781086,0.5858160017256882,81.82,85.32530120481927,15.4483239473196
Recycled Cardboard,27.3,1.5,92.7,0.92,95.9,4,Highly Recommended,17.0625,11.069396551724138,96.53,93.24977795322214,0.9803921568627451,18.253299634934002,124.90066225165565,31.629075892618186,32.379999999999995,25.759036144578307,43.83486855008294
Recycled Cardboard,16.5,3.2,97.0,0.92,85.3,4,Highly Recommended,5.0,3.0,95.7,91.61156616993979,0.9803921568627451,18.253299634934002,56.791277258566986,14.204965305978398,25.9,17.95180722891566,37.88055890524847
Virgin Plastic (PP),72.3,7.3,3.7,5.88,13.0,10,Avoid,9.77027027027027,6.1911463187325255,50.77,2.931017467679853,0.16722408026755853,1.7159134773874158,2.284541723666211,0.2607579434656882,83.38,87.20481927710843,15.060272721783463
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended,17.346153846153847,11.259151193633953,85.535,71.54840619757228,1.1494252873563218,21.690923704112556,51.99203187250996,12.977196440534028,55.06,53.0843373493976,38.57125779517967
Virgin Plastic (PP),81.3,7.8,3.8,3.92,19.7,10,Avoid,10.291139240506329,6.539589698821474,53.12,7.569327938419024,0.24875621890547267,3.374031275802957,3.008962868117798,0.4460832717373421,88.78,93.71084337349399,17.91410833073016
Mushroom Mycelium,23.6,0.6,100.0,0.26,100.0,5,Highly Recommended,33.714285714285715,22.20886699507389,99.87,99.84210006908121,2.7777777777777777,54.806702237199275,327.8688524590164,83.55349412223603,34.16,27.903614457831328,66.77143327265348
Virgin Plastic (PP),60.0,8.7,1.0,5.16,17.9,10,Avoid,6.818181818181819,4.216300940438873,51.3,3.97710451001676,0.19011406844106465,2.181426800477928,2.1699196326062,0.2314347012942285,76.0,78.31325301204821,13.953393039234474
Bamboo Fiber,53.8,5.6,97.6,0.68,31.0,7,Highly Recommended,9.43859649122807,5.969267997580157,85.14,70.7687752886608,1.282051282051282,24.388136435314188,22.92335115864528,5.540689600580949,60.279999999999994,59.373493975903614,37.93875551168653
Bioplastic (PLA),69.2,6.0,87.9,1.59,44.5,8,Highly Recommended,11.344262295081968,7.244092707744489,84.47500000000001,69.45623211289846,0.5917159763313609,10.348798372905687,22.029950083194677,5.312134914050541,73.52000000000001,75.3253012048193,36.509700661403414
