material_id,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,moisture_barrier_grade,cost_per_unit,heat_resistance_c,flexibility_score,material_type_Bamboo Fiber,material_type_Bioplastic (PLA),material_type_Mushroom Mycelium,material_type_Recycled Cardboard,derived_material_co2_factor,CO2 Impact Index,Cost Efficiency Index,Material Suitability Score
M00001,-0.7703410793798309,0.8831989058629787,0.8749074586923109,-1.332294785970809,1.2583352394394454,-0.8745429489247771,-0.9724394678836406,-0.8367102743590494,0.24730276308150267,False,False,True,False,0.1,-0.1332294785970809,0.44940115158531235,1.1088219745752692
M00002,-1.1967025157188413,1.3949323031982246,0.47072627935344524,-1.3688204301266504,1.2054556697689731,-0.8745429489247771,-1.2881341218435853,-1.2774570425421534,0.8630964958541685,False,False,True,False,0.1,-0.13688204301266504,0.9545281019789125,0.2934325358530009
M00003,-0.7246402949046531,0.6243912106589466,0.9215437486160282,-1.1679293872695227,1.2208788775895274,-2.026773448166908,-1.4013487563671514,-1.9555289935930824,0.8630964958541685,False,False,True,False,0.1,-0.11679293872695228,1.5398049573166668,1.1188512337514391
M00004,-0.927874371747208,0.6832111413871356,0.9926085713569264,-1.2775063197370469,1.2420307054577167,-1.4506581985458427,-1.1357298061387842,-1.0062282621217817,1.4788902286268342,False,False,True,False,0.1,-0.1277506319737047,1.6867456630184103,2.115032937937768
M00005,-0.9687362496308963,0.45969540462001685,0.6372844576524289,-1.2775063197370469,1.1455254908091042,-1.4506581985458427,-1.2271723955616647,-1.2435534449896068,0.8630964958541685,False,False,True,False,0.1,-0.1277506319737047,1.121532641784937,0.8198035275996718
M00006,-0.7816318614266394,1.9360756658975649,0.7194531589465952,-1.2044550314253641,1.1323055983914854,-2.026773448166908,-1.2598304632126935,-1.4469750303048856,0.8630964958541685,False,False,True,False,0.1,-0.12044550314253642,1.3412950976402227,1.0848924663893145
M00007,-1.1036879779046562,1.6537399984022565,0.18646698838984607,-1.2592434976591262,1.0613588424169347,-2.026773448166908,-1.2816025083133793,-1.107939054779421,0.8630964958541685,False,False,True,False,0.1,-0.12592434976591263,1.0410110262628915,0.20313417415150783
M00008,-1.3182128367940198,1.5478641230915162,0.8749074586923109,-1.4418717184383334,1.107187802798011,-0.8745429489247771,-1.3360326210650937,-1.2774570425421534,1.4788902286268342,False,False,True,False,0.1,-0.14418717184383334,1.496710012897908,1.02732256689589
M00009,-0.8864748375755764,-0.4814234870310102,0.18646698838984607,-1.1679293872695227,1.1763719064502127,-0.29842769930371177,-1.0747680798568642,-1.1418426523319676,1.4788902286268342,False,False,True,False,0.1,-0.11679293872695228,1.667183470908122,1.1184978145675886
M00010,-1.3139115864904736,2.0537155273539427,0.7216739346572464,-1.2592434976591262,1.1904731250290057,-1.4506581985458427,-1.2816025083133793,-0.9723246645692353,2.0946839613995,False,False,True,False,0.1,-0.12592434976591263,2.0623748832224056,1.8142100416148614
M00011,-0.8515271788592642,0.8420249543532461,0.7660894488703094,-1.1314037431136812,1.0820700072045364,-0.29842769930371177,-0.9288953776822692,-0.73499948170141,0.8630964958541685,False,False,True,False,0.1,-0.11314037431136813,0.9404646946771734,1.3152378645027132
M00012,-0.5735588779925952,0.43616743232874117,0.8660243558497002,-0.967038344412395,1.2697924795347146,-1.4506581985458427,-1.1335526016287156,-1.4469750303048856,0.8630964958541685,False,False,True,False,0.1,-0.0967038344412395,1.4230902194902888,1.6350769810184624
M00013,-1.1972401720067847,0.40087547389182737,1.0259202070167244,-1.3140319638928883,1.2697924795347146,-0.8745429489247771,-1.3099061669442709,-1.3452642376472463,-0.3684909696911631,False,False,True,False,0.1,-0.13140319638928885,-0.25582497475367694,-0.37121350146697984
M00014,-0.8864748375755764,1.783143846004273,0.7483232431850848,-1.2044550314253641,1.200608375882513,0.27768755031735365,-1.09654012495755,-1.3452642376472463,0.24730276308150267,False,False,True,False,0.1,-0.12044550314253642,0.4573680504634762,0.29500609745078765
M00015,-1.1606795444266427,2.424281090941535,0.9037775429308036,-1.222717853503285,1.2697924795347146,-1.4506581985458427,-1.1858055098703617,-0.8706138719115959,0.24730276308150267,False,False,True,False,0.1,-0.12227178535032851,0.2724287285252217,0.5369771200028302
M00016,-0.9402404663699031,1.524336150800241,0.5506742049369573,-1.3505576080487298,1.1732872648861021,-0.8745429489247771,-1.205400350460979,-1.3452642376472463,0.8630964958541685,False,False,True,False,0.1,-0.135055760804873,1.1282563799452443,0.7017689065560273
M00017,-1.1058386030564293,1.7596158737129968,0.9926085713569264,-1.3140319638928883,1.1843038419007839,-1.4506581985458427,-1.3817539157765342,-1.5486858229625249,0.24730276308150267,False,False,True,False,0.1,-0.13140319638928885,0.5232180758016075,0.17700925942965237
M00018,-1.0741168820677764,0.642037189877403,0.7194531589465952,-1.222717853503285,1.2623012071647308,-1.4506581985458427,-1.2489444406623504,-1.175746249884514,1.4788902286268342,False,False,True,False,0.1,-0.12227178535032851,1.6537177872214082,1.5078808067307723
M00019,-0.8918514004550092,0.09501183410524393,0.808284187372718,-1.1679293872695227,1.26406385948708,-1.4506581985458427,-1.1096033520179613,-0.9723246645692353,0.24730276308150267,False,False,True,False,0.1,-0.11679293872695228,0.4650547146444548,0.7900196352069607
M00020,-1.1993907971585578,1.2831744348146654,0.7638686731596551,-1.3505576080487298,1.2235228560730511,-1.4506581985458427,-1.3643362796959855,-1.3791678351997927,-0.3684909696911631,False,False,True,False,0.1,-0.135055760804873,-0.20354548715373544,-0.6596568294745069
M00021,-1.0391692233514642,1.5596281092371538,0.5706611863328361,-1.2044550314253641,1.162711350952007,-1.4506581985458427,-1.407880369897357,-1.7182038107252573,0.8630964958541685,False,False,True,False,0.1,-0.12044550314253642,1.2318076424000612,0.3282526487507196
