Material_Name,Material_Type,Strength_MPa,Biodegradability,Recyclability,CO2_kg_per_kg,Cost_per_kg,Material_Safety,Category_Name,Moisture_Sensitivity,Fragility,Typical_Weight_kg,predicted_cost,predicted_co2
Mushroom Packaging,Bio-composite,5.039668396177001,1.0,1.0,0.1985623029368336,3.9075197418778296,1.0,Electronics,1.0,0.9,2.0,3.903529454561996,0.20205694
Mushroom Packaging,Bio-composite,5.039668396177001,1.0,1.0,0.1985623029368336,3.9075197418778296,1.0,Food & Beverage,0.9,0.4,0.5,3.904527026390953,0.20205694
Mushroom Packaging,Bio-composite,5.039668396177001,1.0,1.0,0.1985623029368336,3.9075197418778296,1.0,Cosmetics,0.7,0.8,0.3,3.907519741877824,0.20205694
Mushroom Packaging,Bio-composite,5.039668396177001,1.0,1.0,0.1985623029368336,3.9075197418778296,1.0,Pharma,1.0,0.9,0.1,3.905025812305431,0.20205694
Mushroom Packaging,Bio-composite,5.039668396177001,1.0,1.0,0.1985623029368336,3.9075197418778296,1.0,E-commerce,0.3,0.5,1.5,3.905025812305432,0.20205694
Virgin PET,Plastic,60.315294547104216,0.0,0.9,2.51104257043758,1.755031089162295,0.45,Electronics,1.0,0.9,2.0,1.764144206729087,2.5009794
Virgin PET,Plastic,60.315294547104216,0.0,0.9,2.51104257043758,1.755031089162295,0.45,Food & Beverage,0.9,0.4,0.5,1.7616460187161491,2.5009794
Virgin PET,Plastic,60.315294547104216,0.0,0.9,2.51104257043758,1.755031089162295,0.45,Cosmetics,0.7,0.8,0.3,1.76445964961766,2.5009794
Virgin PET,Plastic,60.315294547104216,0.0,0.9,2.51104257043758,1.755031089162295,0.45,Pharma,1.0,0.9,0.1,1.7615627575474655,2.5009794
Virgin PET,Plastic,60.315294547104216,0.0,0.9,2.51104257043758,1.755031089162295,0.45,E-commerce,0.3,0.5,1.5,1.765035433023305,2.5009794
Recycled PET,Recycled Plastic,53.93519589767424,0.0,1.0,1.164144996188681,2.0751902683525008,0.5,Electronics,1.0,0.9,2.0,2.0735517608991803,1.1893266
Recycled PET,Recycled Plastic,53.93519589767424,0.0,1.0,1.164144996188681,2.0751902683525008,0.5,Food & Beverage,0.9,0.4,0.5,2.0716408894548364,1.1893266
Recycled PET,Recycled Plastic,53.93519589767424,0.0,1.0,1.164144996188681,2.0751902683525008,0.5,Cosmetics,0.7,0.8,0.3,2.0731454486981478,1.1893266
