Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Mushroom Mycelium,11.5,8.5,100,0.29,100,5,Highly Recommended
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,Highly Recommended
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,Highly Recommended
Virgin Plastic (PP),83.3,6.1,4.3,3.82,17,10,Avoid
Mushroom Mycelium,23,7.4,100,0.27,100,4,Highly Recommended
Virgin Plastic (PP),63.2,5.2,0.8,3.54,28.6,10,Avoid
Bioplastic (PLA),67.7,5.3,92.7,1.53,55.9,8,Highly Recommended
Recycled Cardboard,31.9,2.4,91.8,0.86,99.5,3,Highly Recommended
Edible Seaweed Film,10.7,7.1,100,0.53,2.5,3,Consider as Option
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,Consider as Option
Edible Seaweed Film,6.3,2,100,0.31,0.8,2,Consider as Option
Edible Seaweed Film,10.5,7.3,100,0.25,6.7,2,Consider as Option
Bagasse (Sugarcane),29.6,8.5,97.9,1.17,66.3,7,Highly Recommended
Aluminum Foil,35.6,3.6,0,9.89,95.4,10,Avoid
Virgin Plastic (PP),69.7,5.7,4.4,5.91,15.9,10,Avoid
Recycled Cardboard,27.3,1.5,92.7,0.92,95.9,4,Highly Recommended
Recycled Cardboard,16.5,3.2,97,0.92,85.3,4,Highly Recommended
Virgin Plastic (PP),72.3,7.3,3.7,5.88,13,10,Avoid
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended
Virgin Plastic (PP),81.3,7.8,3.8,3.92,19.7,10,Avoid
Mushroom Mycelium,23.6,0.6,100,0.26,100,5,Highly Recommended
Virgin Plastic (PP),60,8.7,1,5.16,17.9,10,Avoid
Bamboo Fiber,53.8,5.6,97.6,0.68,31,7,Highly Recommended
Bioplastic (PLA),69.2,6,87.9,1.59,44.5,8,Highly Recommended
Bamboo Fiber,46.6,9.6,96.1,0.78,45.9,6,Highly Recommended
Virgin Plastic (PP),66.3,8,2,3.63,25,10,Avoid
Bamboo Fiber,41,4.9,97,1.14,35.2,6,Highly Recommended
Recycled Cardboard,26.6,9.6,97,1.2,92.4,5,Highly Recommended
Edible Seaweed Film,12.8,9.4,100,0.22,1.2,3,Consider as Option
Bamboo Fiber,43.8,5.5,99.5,0.76,46,8,Highly Recommended
Recycled Cardboard,15.5,7.9,93.4,1.4,89,5,Highly Recommended
Mushroom Mycelium,16,1.1,100,0.27,100,4,Highly Recommended
Bagasse (Sugarcane),24.5,3.8,97,1.08,60.4,7,Highly Recommended
Mushroom Mycelium,17.2,3.2,100,0.27,100,6,Highly Recommended
Recycled Cardboard,32.9,1.2,94.3,0.99,80.9,5,Highly Recommended
Bagasse (Sugarcane),37.7,3.9,97.3,0.97,69.8,7,Highly Recommended
Mushroom Mycelium,21.1,6.9,100,0.25,100,5,Highly Recommended
Virgin Plastic (PP),79.2,5.9,4.1,5.23,25,10,Avoid
Mushroom Mycelium,22,7.7,100,0.28,100,5,Highly Recommended
Aluminum Foil,32.6,1.6,0,8.67,98.7,10,Avoid
Mushroom Mycelium,13.3,6.9,100,0.22,100,6,Highly Recommended
Bamboo Fiber,56.4,8.6,95.7,0.85,33.3,8,Highly Recommended
Virgin Plastic (PP),85.6,7.6,0.5,4.43,12.2,10,Avoid
Virgin Plastic (PP),61.4,6.7,3.4,4.11,17.9,10,Avoid
Recycled Cardboard,19.6,9.8,97.9,0.84,92.8,5,Highly Recommended
Virgin Plastic (PP),69.4,0.7,1.3,3.52,18.6,10,Avoid
Bamboo Fiber,41.6,9.2,99.5,0.62,37.2,7,Highly Recommended
Bagasse (Sugarcane),32,3.9,95.2,1.03,66,5,Highly Recommended
Aluminum Foil,34.3,1.4,0,8.98,97.2,10,Avoid
Bioplastic (PLA),53.7,5,84.6,1.92,54.2,8,Highly Recommended
Recycled Cardboard,17.1,2,91.9,1.27,98.5,3,Highly Recommended
Mushroom Mycelium,13.4,1.3,100,0.25,100,5,Highly Recommended
Bioplastic (PLA),67.2,5.5,91.3,2.02,47,8,Highly Recommended
Bamboo Fiber,46.7,9.7,99,0.51,32.3,6,Highly Recommended
Recycled Cardboard,21,9.3,90.5,1.3,85.8,5,Highly Recommended
Recycled Cardboard,34.6,3.9,98,1.38,83.6,4,Highly Recommended
Virgin Plastic (PP),65.8,8.9,2,5.93,22.2,10,Avoid
Bamboo Fiber,57.6,7.4,95.8,0.83,42.3,6,Highly Recommended
Bamboo Fiber,47.4,7.6,98.5,0.57,44.7,6,Highly Recommended
Virgin Plastic (PP),67.8,4.7,0.7,4.66,25.2,10,Avoid
Edible Seaweed Film,11.8,7,100,0.5,2.1,3,Consider as Option
Edible Seaweed Film,13.8,4.2,100,0.33,9.4,2,Consider as Option
Bagasse (Sugarcane),40,1.3,97.5,1.02,61.5,7,Highly Recommended
Bagasse (Sugarcane),36.5,8.7,95.9,1.11,64.5,6,Highly Recommended
Recycled Cardboard,25.1,2.8,98.1,0.9,85.5,3,Highly Recommended
Virgin Plastic (PP),85.4,1.2,0.4,4.95,15.6,10,Avoid
Bamboo Fiber,50,1.1,96.6,0.81,47.3,8,Highly Recommended
Edible Seaweed Film,5.6,1.4,100,0.46,2.2,2,Consider as Option
Recycled Cardboard,19.3,2.4,95.7,1.1,95.9,5,Highly Recommended
Bioplastic (PLA),51.4,9.8,95,2.19,44.4,9,Highly Recommended
Mushroom Mycelium,11.3,4.3,100,0.3,100,4,Highly Recommended
